timestamp,stress,body_battery,respiration_rate,heart_rate,activity_type,intensity,cycles,active_time,active_calories
2026-06-04 00:00:00,,,,68.0,,,,,
2026-06-04 00:01:00,,,15.0,77.0,,,,,
2026-06-04 00:02:00,17,23.0,13.66,72.0,,,,,
2026-06-04 00:03:00,20,23.0,14.16,70.0,,,,,
2026-06-04 00:04:00,,,15.41,65.0,,,,,
2026-06-04 00:05:00,20,23.0,14.16,64.0,,,,,
2026-06-04 00:06:00,,,13.91,61.0,,,,,
2026-06-04 00:07:00,25,23.0,16.54,65.0,,,,,
2026-06-04 00:08:00,14,23.0,15.75,70.0,,,,,
2026-06-04 00:09:00,17,23.0,14.75,69.0,,,,,
2026-06-04 00:10:00,17,23.0,15.08,,walking,4.0,1496.5,1706.0,93.0
2026-06-04 00:11:00,15,24.0,15.16,60.0,,,,,
2026-06-04 00:12:00,15,24.0,15.0,65.0,,,,,
2026-06-04 00:13:00,18,24.0,15.41,60.0,,,,,
2026-06-04 00:14:00,18,24.0,15.08,62.0,,,,,
2026-06-04 00:15:00,17,24.0,14.91,64.0,,,,,
2026-06-04 00:16:00,18,24.0,15.25,61.0,,,,,
2026-06-04 00:17:00,17,24.0,14.5,67.0,,,,,
2026-06-04 00:18:00,16,24.0,15.41,68.0,,,,,
2026-06-04 00:19:00,14,24.0,15.0,60.0,,,,,
2026-06-04 00:20:00,17,24.0,15.08,65.0,,,,,
2026-06-04 00:21:00,16,25.0,15.25,,,,,,
2026-06-04 00:22:00,15,25.0,14.75,59.0,,,,,
2026-06-04 00:23:00,15,25.0,15.16,58.0,,,,,
2026-06-04 00:24:00,16,25.0,16.0,59.0,,,,,
2026-06-04 00:25:00,21,25.0,15.4,60.0,,,,,
2026-06-04 00:26:00,20,25.0,15.58,58.0,,,,,
2026-06-04 00:27:00,17,25.0,12.41,64.0,,,,,
2026-06-04 00:28:00,17,25.0,11.25,60.0,,,,,
2026-06-04 00:29:00,27,25.0,13.9,65.0,,,,,
2026-06-04 00:30:00,20,25.0,12.83,68.0,,,,,
2026-06-04 00:31:00,23,25.0,13.3,61.0,,,,,
2026-06-04 00:32:00,11,26.0,12.58,67.0,,,,,
2026-06-04 00:33:00,23,26.0,12.41,62.0,,,,,
2026-06-04 00:34:00,33,26.0,15.4,60.0,,,,,
2026-06-04 00:35:00,23,26.0,12.66,71.0,,,,,
2026-06-04 00:36:00,22,26.0,13.91,77.0,,,,,
2026-06-04 00:37:00,17,26.0,15.75,79.0,,,,,
2026-06-04 00:38:00,24,26.0,14.0,66.0,,,,,
2026-06-04 00:39:00,18,26.0,13.41,60.0,,,,,
2026-06-04 00:40:00,23,26.0,10.66,57.0,,,,,
2026-06-04 00:41:00,21,26.0,11.0,62.0,,,,,
2026-06-04 00:42:00,16,26.0,13.25,67.0,,,,,
2026-06-04 00:43:00,17,26.0,14.16,63.0,,,,,
2026-06-04 00:44:00,22,26.0,17.2,64.0,,,,,
2026-06-04 00:45:00,15,26.0,16.0,67.0,,,,,
2026-06-04 00:46:00,12,26.0,15.41,63.0,,,,,
